"Title","City","Library","Collection","Number","High Resolution","Digitization","Pinakes","Local catalog","Century","Subject theme","Subject name","Script","Bibliographic note 1","Bibliographic note 2","Bibliographic link"
"","","","","","","","","","","","","","","",""
"BAR Ms. Gr. 10","Bucuresti","BAR","Ms. gr.","10","Yes","http://www.e-corpus.org/ita/ref/141311/Ms._Gr._10/","http://pinakes.irht.cnrs.fr/notices/cote/id/10082","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D57","13th","Philosophy","Nicephorus Blemmydes","","","",""
"BAR Ms. Gr. 1175","Bucuresti","BAR","Ms. gr.","1175","Yes","http://www.e-corpus.org/ita/ref/141347/Ms._Gr._1175/","http://pinakes.irht.cnrs.fr/notices/cote/id/11250","","","Bible","","","","",""
"BAR Ms. Gr. 121","Bucuresti","BAR","Ms. gr.","121","Yes","http://www.e-corpus.org/ita/ref/141316/Ms._Gr._121/","http://pinakes.irht.cnrs.fr/notices/cote/id/10193","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D222","11th|12th","Saints lives","","","","",""
"BAR Ms. Gr. 1294","Bucuresti","BAR","Ms. gr.","1294","Yes","http://www.e-corpus.org/ita/ref/141348/Ms._Gr._1294/","http://pinakes.irht.cnrs.fr/notices/cote/id/11369","","","Canon law|Illuminations","","","","",""
"BAR Ms. Gr. 1387","Bucuresti","BAR","Ms. gr.","1387","Yes","http://www.e-corpus.org/ita/ref/141349/Ms._Gr._1387/","http://pinakes.irht.cnrs.fr/notices/cote/id/11462","","","Theology","John Climacus","","","",""
"BAR Ms. Gr. 1395","Bucuresti","BAR","Ms. gr.","1395","Yes","http://www.e-corpus.org/ita/ref/141350/Ms._Gr._1395/","http://pinakes.irht.cnrs.fr/notices/cote/id/11470","","","Theology","","","","",""
"BAR Ms. Gr. 14","Bucuresti","BAR","Ms. gr.","14","Yes","http://www.e-corpus.org/ita/ref/141312/Ms._Gr._14/","http://pinakes.irht.cnrs.fr/notices/cote/id/10086","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D127","14th|15th","Poems","Maximus Planudes|Ovid|Cato","","","",""
"BAR Ms. Gr. 165","Bucuresti","BAR","Ms. gr.","165","Yes","http://www.e-corpus.org/ita/ref/141317/Ms._Gr._165/","http://pinakes.irht.cnrs.fr/notices/cote/id/10237","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D253","15th","Theology","Basil the Great|Gregory of Nyssa","","","",""
"BAR Ms. Gr. 214","Bucuresti","BAR","Ms. gr.","214","Yes","http://www.e-corpus.org/ita/ref/141318/Ms._Gr._214/","http://pinakes.irht.cnrs.fr/notices/cote/id/10286","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D301","15th|16th","Misc.","","","","",""
"BAR Ms. Gr. 225","Bucuresti","BAR","Ms. gr.","225","Yes","http://www.e-corpus.org/ita/ref/141319/Ms._Gr._225/","http://pinakes.irht.cnrs.fr/notices/cote/id/10297","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D215","15th|16th","Theology|Poems","","","","",""
"BAR Ms. Gr. 249","Bucuresti","BAR","Ms. gr.","249","Yes","http://www.e-corpus.org/ita/ref/141320/Ms._Gr._249/","http://pinakes.irht.cnrs.fr/notices/cote/id/10321","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D293","14th|15th","Theology","John of Damascus","","","",""
"BAR Ms. Gr. 257","Bucuresti","BAR","Ms. gr.","257","Yes","http://www.e-corpus.org/ita/ref/141321/Ms._Gr._257/","http://pinakes.irht.cnrs.fr/notices/cote/id/10329","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D184","14th|15th","Menaion","","","","",""
"BAR Ms. Gr. 261","Bucuresti","BAR","Ms. gr.","261","Yes","http://www.e-corpus.org/ita/ref/141322/Ms._Gr._261/","http://pinakes.irht.cnrs.fr/notices/cote/id/10333","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D180","12th|13th","Hymns","","","","",""
"BAR Ms. Gr. 318","Bucuresti","BAR","Ms. gr.","318","Yes","http://www.e-corpus.org/ita/ref/141323/Ms._Gr._318/","http://pinakes.irht.cnrs.fr/notices/cote/id/10390","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D255","15th|16th","Theology","Eustratius|Nicholas of Methone|Nicetas Stethatus|Euthymius Zigabenus","","","",""
"BAR Ms. Gr. 36","Bucuresti","BAR","Ms. gr.","36","Yes","http://www.e-corpus.org/ita/ref/141313/Ms._Gr._36/","http://pinakes.irht.cnrs.fr/notices/cote/id/10108","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D142","14th|15th","Florilegium","","","","",""
"BAR Ms. Gr. 360","Bucuresti","BAR","Ms. gr.","360","Yes","http://www.e-corpus.org/ita/ref/141325/Ms._Gr._360/","http://pinakes.irht.cnrs.fr/notices/cote/id/10433","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D177","13th|14th","Bible","","","","",""
"BAR Ms. Gr. 375","Bucuresti","BAR","Ms. gr.","375","Yes","http://www.e-corpus.org/ita/ref/141327/Ms._Gr._375/","http://pinakes.irht.cnrs.fr/notices/cote/id/10448","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D180","13th","Poems","","","","",""
"BAR Ms. Gr. 390","Bucuresti","BAR","Ms. gr.","390","Yes","http://www.e-corpus.org/ita/ref/141328/Ms._Gr._390/","http://pinakes.irht.cnrs.fr/notices/cote/id/10463","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D218","14th|15th","Theology","Gregory Nazianzus","","","",""
"BAR Ms. Gr. 394","Bucuresti","BAR","Ms. gr.","394","Yes","http://www.e-corpus.org/ita/ref/141330/Ms._Gr._394/","http://pinakes.irht.cnrs.fr/notices/cote/id/10467","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D293","14th|15th|17th","Philosophy|Theology","Maximus Planudes|Boethius|Thomas Aquinas|Plethon|Demetrius Cydones","","","",""
"BAR Ms. Gr. 452","Bucuresti","BAR","Ms. gr.","452","Yes","http://www.e-corpus.org/ita/ref/141331/Ms._Gr._452/","http://pinakes.irht.cnrs.fr/notices/cote/id/10525","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D305","15th|16th","Misc.|Philosophy","Aristotle|Nemesius|Gennadios II Scholarios|Michael Psellus","","","",""
"BAR Ms. Gr. 492","Bucuresti","BAR","Ms. gr.","492","Yes","http://www.e-corpus.org/ita/ref/141333/Ms._Gr._492/","http://pinakes.irht.cnrs.fr/notices/cote/id/10565","http://hdl.handle.net/2027/nyp.33433087368548?urlappend=%3Bseq%3D310","15th|16th","Rhetoric|Grammar","Aeschines|Manuel Moschopoulus","","","",""
