"Title","Original Author","Type","Uniform Title","Translation Title","Full Translation Title","Series/Journal","Publication Year","Place of Publication","Publisher","Pagination","Princeton Call Number","URL","Edition","Notes","Translator","Original Language","ISBN","Translation Language","Genre","Century","Additional Information"
"Leben der byzantinischen Kaiser : (978 - 1075) ","Psellus, Michael","Book","Chronographia","Leben der byzantinischen Kaiser : (978 - 1075) ","Leben der byzantinischen Kaiser : (978 - 1075)","Sammlung Tusculum","2015","Berlin ; München ","De Gruyter","892 p.","","","","Eingel., hrsg., übers. und mit Anmerkungen versehen von Diether Roderich Reinsch ... in Zsarb. mit Ljuda H. Reinsch-Werner.
","Reinsch, Diether","Greek","978-3-11-030085-7","German","History","11th",""
"Allegories of the Iliad","Tzetzes, John, 12th cent.","Book","","Allegories of the Iliad","Allegories of the Iliad","Dumbarton Oaks Medieval Library 37","2015","Cambridge, Massachusetts","Harvard University Press","577 p.","","","","","Goldwyn, Adam J.|Kokkini, Dimitra","Greek","9780674967854","English","Literature","12th",""
"Byzantine readings of ancient historians","Constantine VII Porphyrogenitus, Emperor of the East, 905-959|Tzetzes, John, 12th cent.|Choniates, Nicetas, ca. 1140-1213|Metochites, Theodoros, d. 1332|Kanaboutzes, John","Book","","Byzantine readings of ancient historians ","Byzantine readings of ancient historians : texts in translation with introductions and notes. [Compiled and translated by] Anthony Kaldellis","Routledge classical translations","2015","Abingdon, Oxon ; New York, NY ","Routledge","188 p.","","","","Xenophon in Byzantium and the coded poem for Leon VI -- The excerpta historica of Konstantinos VII Porphyrogennetos -- The Scholia on the Zosimos manuscript -- Ioannes Tzetzes’ verse scholia on Thucydides -- Scholia on Diodoros of Sicily by Niketas Choniates and others -- Theodoros Metochites and the Greek historians -- Ioannes Kanaboutzes’ commentary on the Roman antiquities of Dionysios of Halikarnassos.
","Kaldellis, Anthony","Greek","9780415732321 ","English","History|Literature","10th|12th|13th|14th|15th",""
"Die große Arithmetik aus dem Codex Vind. phil. gr. 65","Anonymous","Book","","Die große Arithmetik aus dem Codex Vind. phil. gr. 65","Die große Arithmetik aus dem Codex Vind. phil. gr. 65 : Eine anonyme Algorismusschrift aus der Endzeit des Byzantinischen Reiches","Denkschriften der philosophisch-historischen Klasse 461","2014","Wien","Verlag der Österreichischen Akademie der Wissenschaften","425 p.","","","","Textbeschreibung, Transkription, Teilübersetzung mit Kommentar, Fachsprache, Vokabular, Metrologie.
","Deschauer, Stefan","Greek","978-3-7001-7533-9","German","Mathematics","15th",""
"San Cosme y san Damián : vida y milagros","Kosmas, Saint|Damianos, Saint","Book","","San Cosme y san Damián : vida y milagros","San Cosme y san Damián : vida y milagros. In‐ troducción, traducción y notas","Biblioteca de Autores Cristianos 154","2014","León","Universidad de León","138 p.","","","","","Nieto Ibáñez, Jesús María","Greek","978-84-220-1697-7","Spanish","Saints lives","3rd",""
"Vida de Espiridón ","Leontius, Bishop of Neapolis, 7th cent.","Book","","Vida de Espiridón ","Vida de Espiridón","Textos & Estudios / Facultad de Filosofía y Letras, Universidad de Buenos Aires 16 ","2014","Buenos Aires","Editorial de la Facultad de Filosofía y Letras","244 p.","","","","Edición crítica con traducción, introducción, notas y apéndices por Pablo A. Cavallero.
","Cavallero, Pablo A.","Greek","978-987-3617-15-7","Spanish","Saints lives","7th",""
"An English translation and commentary on Origo Constantini imperatoris","","Book","Origo Constantini imperatoris","An English translation and commentary on Origo Constantini imperatoris","An English translation and commentary on Origo Constantini imperatoris = How Constantine became emperor (The Anonymus Valesianus: pars prior) : together with a critical textual analysis of the later Christian interpretations","","2014","Lewiston, ME","Mellen ","","","","","","Stevenson|Nicholas G.","Latin","9781495502835","English","History","4th",""
"Ancoratus","Epiphanius, Saint, Bishop of Constantia in Cyprus, ca. 310-403","Book","","Ancoratus","Ancoratus","Fathers of the church 128","2014","Washington, D.C. ","Catholic University of America Press","244 p.","","","","""Epiphanius of Cyprus was lead bishop of the island from 367 until his death in 403, and he was a contemporary of several of the great church fathers of the patristic era, including Athanasius, Basil, and Jerome. He is well known among modern scholars for his monumental heresiology, the Panarion, as well as for his involvement in several ecclesiastical and theological controversies. Before he began to write his magnum opus, however, he had already completed the Ancoratus, an important theological treatise, written in the form of a letter to Christians in southern Anatolia. The Ancoratus addressed numerous theological issues, particularly in response to the continuous disputes about the divinity of the Son, the developing arguments over the divinity of the Holy Spirit, and the early quarrels over the Incarnation of Christ. In addition, he included his thoughts on proper biblical exegesis, the problematic theology of Origen, and the relationship of the Christian faith with Hellenistic culture.""-- Publisher description.
","Kim, Young Richard","Greek","9780813225913 ","English","Theology","4th|5th",""
"Memoirs of Sylvester Syropoulos, Section IV","Syropoulos, Silvestros, fl. 15th cent.","Edited book","","Memoirs of Sylvester Syropoulos, Section IV","Memoirs of Sylvester Syropoulos, Section IV IN: Sylvester Syropoulos on politics and culture in the fifteenth-century Mediterranean, 185-238","Birmingham Byzantine and Ottoman studies 16","2014","Burlington, VT ","Ashgate","","","","","","","Greek","9781409439660","English","History|Politics and government|Synods","15th",""
"Michael Psellos on Symeon the Metaphrast and on the Miracle at Blachernae","Psellus, Michael","Book","","Michael Psellos on Symeon the Metaphrast and on the Miracle at Blachernae","Michael Psellos on Symeon the Metaphrast and on the Miracle at Blachernae : annotated translations with introductions","","2014","Washington D.C.","Center for Hellenic Studies, Harvard University","","","http://chs.harvard.edu/wa/pageR?tn=ArticleWrapper&bdc=12&mn=5478","","","Fisher, Elizabeth A.","Greek","","English","Rhetoric|Art|Theology","11th",""
"On the difficulties in the Church Fathers","Maximus, Confessor, Saint, ca. 580-662","Book","","On the difficulties in the Church Fathers","On the difficulties in the Church Fathers : I. Ambigua to Thomas, Ambigua to John, 1–22. II. Ambigua to John, 23–71. ","","2014","Washington, D.C.","Catholic University of America Press","501, 388 p.","","","","","Constas, Nicholas","Greek","978-0-674-72666-6","English","Theology","6th|7th",""
"The Acts of the Lateran Synod of 649","","Book","","The Acts of the Lateran Synod of 649","The Acts of the Lateran Synod of 649","Translated texts for historians 61","2014","Liverpool","Liverpool University Press","462 p.","","","","","Price, Richard","Greek","9781781380390","English","Synods|Theology","7th",""
"The fragmentary history of Priscus","Priscus, 5th cent.","Book","","The fragmentary history of Priscus","The fragmentary history of Priscus : Attila, the Huns and the Roman Empire, AD 430-476","Christian Roman Empire series 11","2014","Merchantville NJ","Evolution Publishing","194 p.","","","","""This small volume contains all that we have left of the history of Priscus of Panion, which is mostly lost. It is a firsthand account of Attila the Hun, Hunnic culture, and activities. This edition is the first translation based on the recently published new edition of Priskos's Greek fragments by Pia Carolla""--Provided by publisher.
","Given, John","Greek","9781935228141","English","History","5th",""
"The Histories","Chalkokondylēs, Laonikos, ca. 1430-ca. 1490","Book","","The Histories","The Histories","Dumbarton Oaks Medieval Library 33, 34","2014","Cambridge, MA","Harvard University Press","2 v.","","","","","Kaldellis, Anthony","Greek","9780674599185|9780674599192","English","History","15th",""
"The life of St. Basil the Younger","","Book","","The life of St. Basil the Younger","The life of St. Basil the Younger : critical edition and annotated translation of the Moscow version","Dumbarton Oaks studies 45","2014","Washington, DC","Dumbarton Oaks Research Library and Collection","xi, 829 p.","","","","","Talbot, Alice-Mary|Sullivan, Denis F.|McGrath, Stamatina","Greek","9780884023975","English","Saints lives","10th",""
"The wars of Justinian","Procopius","Book","","The wars of Justinian","The wars of Justinian : translated by H.B. Dewing, revised and modernized, with an introduction and notes, by Anthony Kaldellis.","","2014","Indianapolis","Hackett","","","","","","Dewing, H. B.|Kaldellis, Anthony","Greek","9781624661709","English","History","6th",""
"Three Christological treatises","Cyril, Saint, Patriarch of Alexandria, ca. 370-444","Book","","Three Christological treatises","Three Christological treatises","Fathers of the church 129","2014","Washington, D.C.","The Catholic University of America Press","191 p.","","","","","King, Daniel","Greek","9780813227054","English","Theology","5th",""
"Vita di s. Aussenzio di Bitinia","Psellus, Michael","Book","","Vita di s. Aussenzio di Bitinia","Vita di s. Aussenzio di Bitinia : introduzione, traduzione e commento","Hellenica 49","2014","Alessandria","Edizioni dell'Orso","212 p.","","","","","Varalda, Paolo","Greek","978-88-6274-529-1","Italian","Saints lives","11th",""
"La vie métrique de Théodore Stoudite par Stéphane Mélès (BHG 1755m)","Stephanos Meles","Journal article","","La vie métrique de Théodore Stoudite par Stéphane Mélès (BHG 1755m)","La vie métrique de Théodore Stoudite par Stéphane Mélès (BHG 1755m)","Analecta Bollandiana 132, 21‑54","2014","","","","","","","The metric Life of Theodore the Studite (759-826, BHG 1755m) was written by Stephanos Meles, who became logothete of the drome during the reign of John II Komnenos (1118-1143). The article includes a new edition of Stephanos’ poem along with an annotated French translation. The Meles family, the author’s cultural background, the text’s literary genre as well as its relationship with a 10th-century prose model (the so-called Life A, BHG 1755) are other issues discussed in the present study.
","Delouis, Olivier","Greek","","French","Saints lives|Poems","12th",""
"История ромеев","Gregoras, Nicephorus, 1295-1359 or 60","Book","","История ромеев","История ромеев : 1, Knigi I - XI ","","2013","St. Petersburg","Svoe izdatel’stvo","438 p.","","","","","Jašunskij, R. V.","Greek","978-5-4386-0136-4","Russian","History","14th",""
"Ὁ ἅγιος Νεόφυτος ὁ Ἔγκλειστος καὶ ἡ τυπικὴ διαθήκη τοῦ","Neophytos Enkleistos","Book","","Ὁ ἅγιος Νεόφυτος ὁ Ἔγκλειστος καὶ ἡ τυπικὴ διαθήκη τοῦ","Ὁ ἅγιος Νεόφυτος ὁ Ἔγκλειστος καὶ ἡ τυπικὴ διαθήκη τοῦ","","2013","Athena","Herodotos","523","","","","Auf S. 275–466 neue Edition des Testaments mit Übertragung ins Neugriechische.
","Glaros, Athanasios B.","Greek","978-960-485-045-7","Greek (Modern)","Law","13th",""
"Asketische Schriften","Marcus, Monachus, active 1265-1266","Book","","Asketische Schriften","Asketische Schriften","Corpus Christianorum in translation 15; Corpus christianorum. Series Graeca 72","2013","Turnhout","Brepols","223 p.","","","","","Roelli, Philipp","Greek","9782503533964","German","Theology|Monasticism","13th",""
"Biographien über Philosophen und Sophisten","Eunapius, ca. 345-ca. 420","Book","","Biographien über Philosophen und Sophisten","Biographien über Philosophen und Sophisten : Einleitung, Übersetzung, Kommentar
","Roma aeterna 1","2013","Stuttgart","Steiner","667 p.","","","","","Becker, Matthias","Greek","978-3-5151-0303-9","German","Philosophy|Rhetoric","4th|5th",""
"Die Jakobus-Liturgie in ihren Überlieferungssträngen. Edition des Cod. arm. 17 von Lyon","","Book","","Die Jakobus-Liturgie in ihren Überlieferungssträngen. Edition des Cod. arm. 17 von Lyon","Die Jakobus-Liturgie in ihren Überlieferungssträngen. Edition des Cod. arm. 17 von Lyon : Übersetzung und Liturgievergleich","Anaphorae Orientales 4. Anaphorae armeniacae 4","2013","Rome","Pontificio Istituto Orientale","597 p.","","","","","Winkler, Gabriele","Armenian","978-88-7210-388-3","German","Liturgy","4th",""
"De fide orthodoxa","John, of Damascus, Saint","Book","","De fide orthodoxa","De fide orthodoxa (Explicación de la fe correcta) : estudio introductorio, traducción castellana y notas

","","2013","Buenos Aires","Agape","440 p.","","","","","Cavallero, Pablo A.","Greek","978-987-640-287-3","Spanish","Theology","8th",""
